elective,Women3_x,Men3_x,Women3_y,Men3_y
cxinfr10077,72.0,171.0,1233.0,3816.0
cxinfr10078,252.0,540.0,822.0,2544.0
cxinfr10079,0.0,0.0,0.0,0.0
cxinfr10080,333.0,792.0,1233.0,3816.0
cxinfr10083,0.0,0.0,0.0,0.0
cxinfr10084,0.0,0.0,0.0,0.0
cxinfr10085,36.0,180.0,411.0,1272.0
cxinfr10086,90.0,279.0,411.0,1272.0
cxinfr10087,0.0,27.0,411.0,1272.0
cxinfr11017,189.0,396.0,1233.0,3816.0
cxinfr11020,0.0,0.0,0.0,0.0
cxinfr11023,0.0,0.0,0.0,0.0
cxinfr11033,0.0,0.0,0.0,0.0
cxinfr11077,0.0,0.0,0.0,0.0
cxinfr11088,63.0,207.0,822.0,2544.0
cxinfr11098,0.0,0.0,0.0,0.0
cxinfr11099,0.0,0.0,0.0,0.0
cxinfr11114,0.0,0.0,0.0,0.0
cxinfr11124,0.0,0.0,0.0,0.0
cxinfr11129,0.0,0.0,0.0,0.0
cxinfr11130,108.0,414.0,1233.0,3816.0
cxinfr11131,0.0,0.0,0.0,0.0
cxinfr11132,0.0,0.0,0.0,0.0
cxinfr11134,0.0,0.0,0.0,0.0
cxinfr11144,0.0,0.0,0.0,0.0
cxinfr11145,0.0,0.0,0.0,0.0
cxinfr11150,0.0,0.0,0.0,0.0
cxinfr11157,0.0,0.0,0.0,0.0
cxinfr11158,0.0,0.0,0.0,0.0
cxinfr11160,144.0,342.0,1233.0,3816.0
cxinfr11161,0.0,0.0,0.0,0.0
cxinfr11187,0.0,0.0,0.0,0.0
cxinfr11199,0.0,0.0,0.0,0.0
cxinfr11201,0.0,0.0,0.0,0.0
cxinfr11202,0.0,0.0,0.0,0.0
cxinfr11208,0.0,0.0,0.0,0.0
cxinfr11209,9.0,36.0,411.0,1272.0
cxinfr11213,9.0,45.0,411.0,1272.0
cxinfr11215,0.0,0.0,0.0,0.0
cxinfr11217,27.0,90.0,411.0,1272.0
cxinfr11218,18.0,63.0,411.0,1272.0
cxinfr11240,0.0,0.0,0.0,0.0
cxinfr11241,0.0,0.0,0.0,0.0
inf-AuLearn,42.0,168.0,369.0,1830.0
inf-CI,63.0,231.0,369.0,1830.0
inf-EAeS,63.0,210.0,369.0,1830.0
inf-EERP,105.0,357.0,369.0,1830.0
inf-EnlOpt,21.0,168.0,369.0,1830.0
inf-IoT,42.0,336.0,369.0,1830.0
inf-TM,63.0,231.0,369.0,1830.0
