MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3,icy,cohort_id,icym,module_id
COMP3621,3,2020,3,6,10.0,Durham_England,9,Durham_England32020,1,Durham_England32020COMP3621,26
COMP3467,3,2021,6,30,,Durham_England,36,Durham_England32021,2,Durham_England32021COMP3467,27
COMP3477,3,2021,6,54,,Durham_England,60,Durham_England32021,2,Durham_England32021COMP3477,28
COMP3487,3,2021,9,39,,Durham_England,48,Durham_England32021,2,Durham_England32021COMP3487,29
COMP3491,3,2021,3,42,,Durham_England,45,Durham_England32021,2,Durham_England32021COMP3491,30
COMP3507,3,2021,0,15,,Durham_England,15,Durham_England32021,2,Durham_England32021COMP3507,31
COMP3517,3,2021,6,30,,Durham_England,36,Durham_England32021,2,Durham_England32021COMP3517,32
COMP3527,3,2021,3,33,,Durham_England,36,Durham_England32021,2,Durham_England32021COMP3527,33
COMP3547,3,2021,9,69,,Durham_England,78,Durham_England32021,2,Durham_England32021COMP3547,34
COMP3557,3,2021,3,30,,Durham_England,33,Durham_England32021,2,Durham_England32021COMP3557,35
COMP3567,3,2021,3,39,,Durham_England,42,Durham_England32021,2,Durham_England32021COMP3567,36
COMP3577,3,2021,3,36,,Durham_England,39,Durham_England32021,2,Durham_England32021COMP3577,37
COMP3587,3,2021,3,15,,Durham_England,18,Durham_England32021,2,Durham_England32021COMP3587,38
COMP3607,3,2021,9,45,,Durham_England,54,Durham_England32021,2,Durham_England32021COMP3607,39
COMP3617,3,2021,3,36,,Durham_England,39,Durham_England32021,2,Durham_England32021COMP3617,40
COMP3621,3,2021,3,3,10.0,Durham_England,6,Durham_England32021,2,Durham_England32021COMP3621,41
COMP3647,3,2021,6,30,,Durham_England,36,Durham_England32021,2,Durham_England32021COMP3647,42
COMP3657,3,2021,6,39,,Durham_England,45,Durham_England32021,2,Durham_England32021COMP3657,43
COMP3421,3,2022,6,0,10.0,Durham_England,6,Durham_England32022,3,Durham_England32022COMP3421,44
COMP3477,3,2022,27,69,,Durham_England,96,Durham_England32022,3,Durham_England32022COMP3477,45
COMP3487,3,2022,21,39,,Durham_England,60,Durham_England32022,3,Durham_England32022COMP3487,46
COMP3491,3,2022,18,30,,Durham_England,48,Durham_England32022,3,Durham_England32022COMP3491,47
COMP3517,3,2022,27,45,,Durham_England,72,Durham_England32022,3,Durham_England32022COMP3517,48
COMP3527,3,2022,21,63,,Durham_England,84,Durham_England32022,3,Durham_England32022COMP3527,49
COMP3547,3,2022,36,102,,Durham_England,138,Durham_England32022,3,Durham_England32022COMP3547,50
COMP3557,3,2022,12,33,,Durham_England,45,Durham_England32022,3,Durham_England32022COMP3557,51
COMP3567,3,2022,15,45,,Durham_England,60,Durham_England32022,3,Durham_England32022COMP3567,52
COMP3577,3,2022,15,33,,Durham_England,48,Durham_England32022,3,Durham_England32022COMP3577,53
COMP3587,3,2022,15,21,,Durham_England,36,Durham_England32022,3,Durham_England32022COMP3587,54
COMP3607,3,2022,27,75,,Durham_England,102,Durham_England32022,3,Durham_England32022COMP3607,55
COMP3617,3,2022,18,66,,Durham_England,84,Durham_England32022,3,Durham_England32022COMP3617,56
COMP3647,3,2022,24,48,,Durham_England,72,Durham_England32022,3,Durham_England32022COMP3647,57
COMP3657,3,2022,27,57,,Durham_England,84,Durham_England32022,3,Durham_England32022COMP3657,58
COMP3667,3,2022,21,84,,Durham_England,105,Durham_England32022,3,Durham_England32022COMP3667,59
COMP3677,3,2022,12,54,,Durham_England,66,Durham_England32022,3,Durham_England32022COMP3677,60
COMP4087,4,2020,0,12,,Durham_England,12,Durham_England42020,4,Durham_England42020COMP4087,61
COMP4097,4,2020,3,21,,Durham_England,24,Durham_England42020,4,Durham_England42020COMP4097,62
COMP4107,4,2020,6,21,,Durham_England,27,Durham_England42020,4,Durham_England42020COMP4107,63
COMP4127,4,2020,0,12,,Durham_England,12,Durham_England42020,4,Durham_England42020COMP4127,64
COMP4137,4,2020,6,30,,Durham_England,36,Durham_England42020,4,Durham_England42020COMP4137,65
COMP4157,4,2020,6,18,,Durham_England,24,Durham_England42020,4,Durham_England42020COMP4157,66
COMP4167,4,2020,6,33,,Durham_England,39,Durham_England42020,4,Durham_England42020COMP4167,67
COMP4177,4,2020,6,24,,Durham_England,30,Durham_England42020,4,Durham_England42020COMP4177,68
