MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3
cxinfr11160,3/4/5/,2021,15,39,,Edinburgh_Scotland,54
cxinfr11160,3/4/5/,2022,21,51,,Edinburgh_Scotland,72
cxinfr11161,3/4/5/,2020,9,51,,Edinburgh_Scotland,60
cxinfr11161,3/4/5/,2021,6,15,,Edinburgh_Scotland,21
cxinfr11161,3/4/5/,2022,3,24,,Edinburgh_Scotland,27
cxinfr11187,3/4/5/,2021,0,6,,Edinburgh_Scotland,6
cxinfr11199,3/4/5/,2020,9,45,,Edinburgh_Scotland,54
cxinfr11199,3/4/5/,2021,15,27,,Edinburgh_Scotland,42
cxinfr11201,3/4/5/,2022,0,3,,Edinburgh_Scotland,3
cxinfr11202,3/4/5/,2021,3,18,,Edinburgh_Scotland,21
cxinfr11208,3/4/5/,2021,12,18,,Edinburgh_Scotland,30
cxinfr11209,3/4/5/,2022,3,12,,Edinburgh_Scotland,15
cxinfr11213,3/4/5/,2022,3,15,44,Edinburgh_Scotland,18
cxinfr11217,3/4/5/,2022,9,30,,Edinburgh_Scotland,39
cxinfr11218,3/4/5/,2022,6,21,,Edinburgh_Scotland,27
cxinfr11219,3/4/5/,2022,9,15,,Edinburgh_Scotland,24
cxinfr11220,3/4/5/,2022,12,57,,Edinburgh_Scotland,69
cxinfr11221,3/4/5/,2022,6,9,,Edinburgh_Scotland,15
cxinfr11222,3/4/5/,2022,3,12,,Edinburgh_Scotland,15
cxinfr11223,3/4/5/,2022,18,66,,Edinburgh_Scotland,84
cxinfr11224,3/4/5/,2022,9,15,,Edinburgh_Scotland,24
cxinfr11225,3/4/5/,2022,9,21,,Edinburgh_Scotland,30
cxinfr11226,3/4/5/,2022,3,15,,Edinburgh_Scotland,18
cxinfr11227,3/4/5/,2022,3,6,,Edinburgh_Scotland,9
cxinfr11228,3/4/5/,2022,15,30,,Edinburgh_Scotland,45
cxinfr11229,3/4/5/,2022,6,42,,Edinburgh_Scotland,48
cxinfr11235,3/4/5/,2022,3,9,,Edinburgh_Scotland,12
cxinfr11238,3/4/5/,2022,18,75,,Edinburgh_Scotland,93
cxinfr11239,3/4/5/,2022,12,45,,Edinburgh_Scotland,57
COMPSCI4003,H,2020,9,39,,Glasgow_Scotland,48
COMPSCI4004,H,2020,27,84,,Glasgow_Scotland,111
COMPSCI4007,H,2020,0,21,,Glasgow_Scotland,21
COMPSCI4011,H,2020,15,81,,Glasgow_Scotland,96
COMPSCI4012,H,2020,24,126,,Glasgow_Scotland,150
COMPSCI4013,H,2020,45,144,,Glasgow_Scotland,189
COMPSCI4016,H,2020,27,102,,Glasgow_Scotland,129
COMPSCI4021,H,2020,15,120,,Glasgow_Scotland,135
COMPSCI4023,H,2020,18,69,,Glasgow_Scotland,87
COMPSCI4031,H,2020,0,6,,Glasgow_Scotland,6
COMPSCI4061,H,2020,15,60,,Glasgow_Scotland,75
COMPSCI4066,H,2020,12,36,,Glasgow_Scotland,48
COMPSCI4068,H,2020,45,105,,Glasgow_Scotland,150
COMPSCI4069,H,2020,6,18,,Glasgow_Scotland,24
COMPSCI4071,H,2020,6,33,,Glasgow_Scotland,39
COMPSCI4072,H,2020,3,15,,Glasgow_Scotland,18
COMPSCI4074,H,2020,15,69,,Glasgow_Scotland,84
COMPSCI4075,H,2020,12,30,,Glasgow_Scotland,42
COMPSCI4076,H,2020,18,78,,Glasgow_Scotland,96
COMPSCI4077,H,2020,24,78,,Glasgow_Scotland,102
COMPSCI4080,H,2020,15,27,,Glasgow_Scotland,42
COMPSCI4082,H,2020,0,21,,Glasgow_Scotland,21
COMPSCI4087,H,2020,24,99,,Glasgow_Scotland,123
COMPSCI4089,H,2020,0,15,,Glasgow_Scotland,15
COMPSCI4003,H,2021,30,63,,Glasgow_Scotland,93
COMPSCI4004,H,2021,42,153,,Glasgow_Scotland,195
COMPSCI4007,H,2021,21,81,,Glasgow_Scotland,102
COMPSCI4011,H,2021,18,72,,Glasgow_Scotland,90
COMPSCI4012,H,2021,27,90,,Glasgow_Scotland,117
COMPSCI4013,H,2021,39,135,,Glasgow_Scotland,174
COMPSCI4016,H,2021,27,132,,Glasgow_Scotland,159
COMPSCI4021,H,2021,30,102,,Glasgow_Scotland,132
COMPSCI4023,H,2021,24,81,,Glasgow_Scotland,105
COMPSCI4031,H,2021,6,21,,Glasgow_Scotland,27
COMPSCI4061,H,2021,33,114,,Glasgow_Scotland,147
COMPSCI4064,H,2021,0,12,,Glasgow_Scotland,12
COMPSCI4068,H,2021,54,150,,Glasgow_Scotland,204
COMPSCI4069,H,2021,15,42,,Glasgow_Scotland,57
COMPSCI4071,H,2021,6,39,,Glasgow_Scotland,45
COMPSCI4072,H,2021,3,9,,Glasgow_Scotland,12
COMPSCI4074,H,2021,27,78,,Glasgow_Scotland,105
COMPSCI4075,H,2021,15,57,,Glasgow_Scotland,72
COMPSCI4076,H,2021,39,150,,Glasgow_Scotland,189
COMPSCI4077,H,2021,9,33,,Glasgow_Scotland,42
COMPSCI4080,H,2021,21,57,,Glasgow_Scotland,78
COMPSCI4087,H,2021,18,69,,Glasgow_Scotland,87
COMPSCI4089,H,2021,9,36,,Glasgow_Scotland,45
COMPSCI4091,H,2021,6,24,,Glasgow_Scotland,30
COMPSCI4003,H,2022,9,42,,Glasgow_Scotland,51
COMPSCI4004,H,2022,9,60,,Glasgow_Scotland,69
COMPSCI4007,H,2022,3,30,,Glasgow_Scotland,33
COMPSCI4011,H,2022,12,66,,Glasgow_Scotland,78
COMPSCI4012,H,2022,27,108,,Glasgow_Scotland,135
COMPSCI4013,H,2022,48,183,,Glasgow_Scotland,231
COMPSCI4016,H,2022,27,126,,Glasgow_Scotland,153
COMPSCI4021,H,2022,21,111,,Glasgow_Scotland,132
COMPSCI4023,H,2022,24,69,,Glasgow_Scotland,93
COMPSCI4031,H,2022,3,12,,Glasgow_Scotland,15
COMPSCI4061,H,2022,18,75,,Glasgow_Scotland,93
COMPSCI4064,H,2022,3,15,,Glasgow_Scotland,18
COMPSCI4066,H,2022,15,39,,Glasgow_Scotland,54
COMPSCI4068,H,2022,51,126,,Glasgow_Scotland,177
COMPSCI4069,H,2022,9,36,,Glasgow_Scotland,45
COMPSCI4071,H,2022,3,33,,Glasgow_Scotland,36
COMPSCI4072,H,2022,6,21,,Glasgow_Scotland,27
COMPSCI4074,H,2022,27,108,,Glasgow_Scotland,135
COMPSCI4075,H,2022,15,60,,Glasgow_Scotland,75
COMPSCI4076,H,2022,18,105,,Glasgow_Scotland,123
COMPSCI4077,H,2022,6,21,,Glasgow_Scotland,27
COMPSCI4080,H,2022,18,39,,Glasgow_Scotland,57
COMPSCI4082,H,2022,6,30,,Glasgow_Scotland,36
COMPSCI4087,H,2022,24,63,,Glasgow_Scotland,87
COMPSCI4089,H,2022,6,24,,Glasgow_Scotland,30
COMPSCI4091,H,2022,6,18,,Glasgow_Scotland,24
IT4733,1,2020,3,0,,Kennesaw_USA,3
IT4793,1,2021,3,0,,Kennesaw_USA,3
IT4733,1,2022,9,6,,Kennesaw_USA,15
IT4773,1,2022,6,3,,Kennesaw_USA,9
IT4533,1,2020,6,3,,Kennesaw_USA,9
IT4773,1,2021,3,3,,Kennesaw_USA,6
IT4513,1,2020,6,6,,Kennesaw_USA,12
IT4523,1,2020,6,6,,Kennesaw_USA,12
IT4713,1,2022,6,6,,Kennesaw_USA,12
IT3503,1,2020,33,39,,Kennesaw_USA,72
IT3503,1,2022,27,33,,Kennesaw_USA,60
CS4626,1,2021,3,3,,Kennesaw_USA,6
IT3703,1,2020,9,12,,Kennesaw_USA,21
IT3703,1,2021,12,18,,Kennesaw_USA,30
CYBR3305,1,2021,21,30,,Kennesaw_USA,51
IT4603,1,2021,3,6,,Kennesaw_USA,9
CYBR4305,1,2020,9,18,,Kennesaw_USA,27
IT3503,1,2021,24,39,,Kennesaw_USA,63
CYBR4350,1,2022,9,15,,Kennesaw_USA,24
IT4893,1,2021,6,9,,Kennesaw_USA,15
CS4422,1,2022,9,15,,Kennesaw_USA,24
CYBR4893,1,2020,6,15,,Kennesaw_USA,21
CSE4983,1,2020,12,27,,Kennesaw_USA,39
CS4524,1,2021,6,12,,Kennesaw_USA,18
CYBR4350,1,2021,12,27,,Kennesaw_USA,39
IT4863,1,2022,9,18,,Kennesaw_USA,27
CSE1300,1,2022,120,273,,Kennesaw_USA,393
CYBR3305,1,2020,18,39,,Kennesaw_USA,57
IT4203,1,2020,12,27,,Kennesaw_USA,39
CYBR4843,1,2020,12,33,,Kennesaw_USA,45
CYBR4305,1,2022,18,42,,Kennesaw_USA,60
SWE4783,1,2022,18,48,,Kennesaw_USA,66
CYBR4305,1,2021,12,30,,Kennesaw_USA,42
SWE4743,1,2022,6,15,,Kennesaw_USA,21
CSE4983,1,2021,18,48,,Kennesaw_USA,66
SWE4783,1,2021,18,51,,Kennesaw_USA,69
CYBR3153,1,2021,15,36,,Kennesaw_USA,51
CYBR4853,1,2022,21,57,,Kennesaw_USA,78
IT4893,1,2020,3,9,,Kennesaw_USA,12
IT4673,1,2021,9,24,,Kennesaw_USA,33
CYBR3305,1,2022,18,48,,Kennesaw_USA,66
IT4883,1,2022,15,45,,Kennesaw_USA,60
