,elective,institution,title,OS,PDC,18,AI,GIT,04,SDF,19,13,02,SEC,SPD,NC,HCI,16,FPL,14,AL,24,21,17,08,03,09,15,DM,07,01,MSF,SE,SF,10,22,SEP,AR,MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,Students3
20,1DT052,Uppsala_Sweden,Computer Networks I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1DT052,1,2021.0,12.0,42.0,,54.0
21,1DT052,Uppsala_Sweden,Computer Networks I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1DT052,1,2022.0,9.0,42.0,,51.0
22,1DT072,Uppsala_Sweden,Secure Computer Systems I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1DT072,1,2020.0,12.0,60.0,,72.0
23,1DT072,Uppsala_Sweden,Secure Computer Systems I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1DT072,1,2021.0,15.0,66.0,,81.0
24,1DT072,Uppsala_Sweden,Secure Computer Systems I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1DT072,1,2022.0,18.0,84.0,,102.0
25,1DT075,Uppsala_Sweden,Cryptology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1DT075,1,2020.0,9.0,42.0,,51.0
26,1DT075,Uppsala_Sweden,Cryptology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1DT075,1,2021.0,12.0,39.0,,51.0
27,1DT075,Uppsala_Sweden,Cryptology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1DT075,1,2022.0,6.0,48.0,,54.0
28,1MD001,Uppsala_Sweden,Advanced Interaction Design,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1MD001,1,2020.0,24.0,24.0,,48.0
29,1MD001,Uppsala_Sweden,Advanced Interaction Design,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1MD001,1,2021.0,12.0,27.0,,39.0
30,1MD001,Uppsala_Sweden,Advanced Interaction Design,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1MD001,1,2022.0,24.0,24.0,,48.0
