,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"popularity_module_non_topic_women[0, 6]",-381.278,158.032,-697.915,-101.235,17.031,12.279,87.0,216.0,1.04
"popularity_module_non_topic_women[0, 7]",-107.639,129.436,-343.839,139.575,12.869,9.575,102.0,133.0,1.02
"popularity_module_non_topic_women[0, 8]",-72.663,145.415,-357.993,200.65,13.963,11.047,109.0,95.0,1.04
"popularity_module_non_topic_women[0, 9]",85.988,166.699,-219.689,401.979,17.287,12.262,94.0,320.0,1.03
"popularity_module_non_topic_women[0, 10]",-171.141,198.073,-540.272,189.22,18.184,12.89,119.0,237.0,1.02
"popularity_module_non_topic_women[0, 11]",158.462,191.19,-197.178,538.347,35.949,25.687,28.0,138.0,1.1
"popularity_module_non_topic_women[0, 12]",-41.816,288.798,-620.229,460.337,28.573,20.262,103.0,219.0,1.04
"popularity_module_non_topic_women[0, 13]",-14.035,294.184,-575.95,544.592,30.571,21.685,93.0,240.0,1.04
"popularity_module_non_topic_women[0, 14]",87.56,309.214,-518.649,622.338,30.222,21.43,105.0,167.0,1.05
"popularity_module_non_topic_women[0, 15]",-0.901,292.646,-530.306,539.33,40.287,28.646,52.0,277.0,1.07
"popularity_module_non_topic_women[0, 16]",-17.426,296.499,-599.529,537.947,27.39,19.416,117.0,263.0,1.02
"popularity_module_non_topic_women[0, 17]",-3.25,263.096,-475.685,503.427,23.314,16.523,128.0,208.0,1.02
"popularity_module_non_topic_women[0, 18]",10.658,275.454,-535.005,513.134,25.458,18.047,118.0,239.0,1.02
"popularity_module_non_topic_women[0, 19]",1.891,285.806,-530.464,548.798,26.664,18.903,117.0,185.0,1.03
"popularity_module_non_topic_women[1, 0]",65.696,201.057,-325.172,434.338,16.587,11.752,146.0,529.0,1.02
"popularity_module_non_topic_women[1, 1]",-101.426,134.065,-343.7,158.197,11.858,8.404,127.0,258.0,1.02
"popularity_module_non_topic_women[1, 2]",9.526,165.488,-311.366,319.523,15.627,11.079,114.0,187.0,1.03
"popularity_module_non_topic_women[1, 3]",73.273,160.047,-234.188,365.797,16.995,12.057,89.0,226.0,1.06
"popularity_module_non_topic_women[1, 4]",-14.913,164.622,-319.462,301.08,21.137,15.019,61.0,193.0,1.07
"popularity_module_non_topic_women[1, 5]",-4.65,182.61,-342.165,340.75,17.465,12.383,110.0,281.0,1.04
"popularity_module_non_topic_women[1, 6]",-102.033,150.377,-393.466,177.112,15.756,11.177,91.0,167.0,1.07
"popularity_module_non_topic_women[1, 7]",96.882,199.816,-273.784,493.458,34.814,24.839,33.0,88.0,1.09
"popularity_module_non_topic_women[1, 8]",-84.176,208.782,-483.835,301.074,25.979,18.453,65.0,118.0,1.04
"popularity_module_non_topic_women[1, 9]",85.395,196.31,-295.495,450.573,24.138,17.144,67.0,170.0,1.04
"popularity_module_non_topic_women[1, 10]",32.661,287.334,-531.054,548.817,31.7,22.495,83.0,142.0,1.03
"popularity_module_non_topic_women[1, 11]",-26.247,295.972,-583.441,549.623,48.299,34.421,37.0,126.0,1.1
"popularity_module_non_topic_women[1, 12]",-1.501,300.662,-595.136,539.112,44.82,31.9,46.0,203.0,1.09
"popularity_module_non_topic_women[1, 13]",7.863,302.983,-543.05,581.397,35.721,25.362,77.0,278.0,1.06
"popularity_module_non_topic_women[1, 14]",-20.418,274.069,-523.122,479.442,25.24,17.892,119.0,344.0,1.04
"popularity_module_non_topic_women[1, 15]",-28.628,308.566,-616.749,584.828,39.348,27.956,61.0,165.0,1.06
"popularity_module_non_topic_women[1, 16]",-9.751,284.23,-585.495,494.161,32.568,23.118,76.0,124.0,1.04
"popularity_module_non_topic_women[1, 17]",8.788,288.945,-545.246,558.828,34.354,24.393,73.0,190.0,1.08
"popularity_module_non_topic_women[1, 18]",-2.924,310.727,-558.795,596.148,33.613,23.85,89.0,114.0,1.04
"popularity_module_non_topic_women[1, 19]",35.907,287.828,-472.391,610.159,29.657,21.036,99.0,189.0,1.07
"popularity_module_non_topic_women[2, 0]",-526.911,167.355,-883.38,-242.124,23.687,17.529,56.0,92.0,1.06
"popularity_module_non_topic_women[2, 1]",57.565,187.312,-294.118,400.913,19.218,13.631,95.0,202.0,1.03
"popularity_module_non_topic_women[2, 2]",183.004,152.713,-90.632,478.396,15.266,10.826,99.0,197.0,1.02
"popularity_module_non_topic_women[2, 3]",11.986,169.461,-290.806,341.342,18.098,12.84,89.0,197.0,1.02
"popularity_module_non_topic_women[2, 4]",-17.65,174.115,-354.752,324.805,18.82,13.354,86.0,118.0,1.04
"popularity_module_non_topic_women[2, 5]",229.182,159.704,-94.842,516.126,16.828,11.938,90.0,223.0,1.05
"popularity_module_non_topic_women[2, 6]",-69.241,190.66,-423.56,279.217,20.403,14.476,88.0,177.0,1.04
"popularity_module_non_topic_women[2, 7]",121.021,192.281,-264.091,472.126,22.16,15.731,81.0,155.0,1.04
"popularity_module_non_topic_women[2, 8]",9.965,278.363,-518.139,524.088,26.09,18.496,114.0,258.0,1.04
"popularity_module_non_topic_women[2, 9]",-30.758,285.327,-557.125,496.446,32.11,22.79,81.0,132.0,1.05
"popularity_module_non_topic_women[2, 10]",21.32,298.58,-559.081,587.029,50.344,35.898,35.0,117.0,1.08
"popularity_module_non_topic_women[2, 11]",65.26,265.069,-423.501,560.451,22.297,15.799,141.0,389.0,1.02
"popularity_module_non_topic_women[2, 12]",14.467,294.838,-502.911,614.428,35.864,25.47,67.0,252.0,1.05
"popularity_module_non_topic_women[2, 13]",4.587,303.239,-541.475,565.774,28.021,19.863,118.0,246.0,1.01
"popularity_module_non_topic_women[2, 14]",33.646,278.28,-474.604,557.347,29.25,20.75,91.0,263.0,1.05
"popularity_module_non_topic_women[2, 15]",12.342,276.218,-488.186,554.473,24.97,17.699,122.0,241.0,1.03
