,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"popularity_module_non_topic_women[1, 7]",57.543,88.416,-108.972,223.471,4.178,2.956,448.0,117206.0,1.01
"popularity_module_non_topic_women[1, 8]",138.435,96.149,-41.726,319.958,0.52,0.368,34100.0,143510.0,1.0
"popularity_module_non_topic_women[1, 9]",-66.214,115.405,-281.625,152.217,0.435,0.307,70449.0,144957.0,1.0
"popularity_module_non_topic_women[1, 10]",335.74,105.443,136.852,533.587,0.442,0.312,56986.0,133920.0,1.0
"popularity_module_non_topic_women[1, 11]",7.312,90.322,-164.679,174.621,4.1,2.901,486.0,84734.0,1.01
"popularity_module_non_topic_women[1, 12]",-74.926,102.987,-268.116,119.341,0.381,0.269,72997.0,147791.0,1.0
"popularity_module_non_topic_women[1, 13]",-379.096,457.018,-1273.84,111.498,189.81,143.826,10.0,32.0,1.31
"popularity_module_non_topic_women[1, 14]",0.237,281.086,-533.353,524.012,0.378,0.48,552657.0,294481.0,1.0
"popularity_module_non_topic_women[1, 15]",-0.39,279.887,-523.447,529.161,0.369,0.474,574620.0,302165.0,1.0
"popularity_module_non_topic_women[1, 16]",0.776,280.505,-522.633,534.078,0.359,0.481,611291.0,299899.0,1.0
"popularity_module_non_topic_women[1, 17]",0.221,280.313,-530.862,523.603,0.379,0.48,545995.0,298566.0,1.0
"popularity_module_non_topic_women[1, 18]",-0.51,279.9,-520.272,533.406,0.386,0.467,524545.0,300139.0,1.0
"popularity_module_non_topic_women[1, 19]",0.418,280.522,-527.737,526.1,0.396,0.46,502809.0,304352.0,1.0
"popularity_module_non_topic_women[1, 20]",-0.656,279.906,-530.495,523.095,0.368,0.481,577069.0,299348.0,1.0
"popularity_module_non_topic_women[1, 21]",0.08,280.279,-524.345,528.187,0.383,0.469,535398.0,300889.0,1.0
"popularity_module_non_topic_women[1, 22]",0.223,280.529,-523.671,530.035,0.372,0.478,569669.0,297197.0,1.0
"popularity_module_non_topic_women[1, 23]",-0.125,279.887,-521.307,532.023,0.376,0.471,553034.0,304959.0,1.0
"popularity_module_non_topic_women[1, 24]",0.115,280.343,-520.346,534.36,0.392,0.468,511888.0,301787.0,1.0
