,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"popularity_module_non_topic_women[0, 11]",33.196,76.801,-123.868,164.558,29.453,21.792,7.0,18.0,1.57
"popularity_module_non_topic_women[0, 12]",90.011,73.44,-18.944,238.048,28.91,21.445,7.0,35.0,1.59
"popularity_module_non_topic_women[0, 13]",33.831,81.384,-120.48,173.798,32.914,24.484,6.0,35.0,1.75
"popularity_module_non_topic_women[0, 14]",-0.321,98.261,-160.588,177.005,39.801,29.612,7.0,30.0,1.63
"popularity_module_non_topic_women[0, 15]",12.479,86.32,-147.484,166.226,30.02,22.024,9.0,27.0,1.42
"popularity_module_non_topic_women[0, 16]",-6.881,104.764,-210.821,144.422,41.961,32.21,7.0,13.0,1.58
"popularity_module_non_topic_women[0, 17]",23.312,169.287,-238.727,305.422,79.29,60.105,5.0,13.0,2.65
"popularity_module_non_topic_women[0, 18]",44.829,146.964,-223.566,312.37,67.428,50.957,5.0,12.0,2.57
"popularity_module_non_topic_women[0, 19]",-28.727,143.761,-283.901,216.638,61.293,45.872,6.0,12.0,1.88
"popularity_module_non_topic_women[0, 20]",-42.99,89.04,-186.442,103.694,33.29,24.572,7.0,20.0,1.57
"popularity_module_non_topic_women[0, 21]",-0.508,65.885,-128.939,110.238,21.861,15.984,10.0,48.0,1.37
"popularity_module_non_topic_women[0, 22]",-37.793,129.625,-284.403,147.309,55.132,41.249,6.0,24.0,1.88
"popularity_module_non_topic_women[0, 23]",-69.103,128.153,-363.167,100.441,58.287,45.215,6.0,14.0,1.68
"popularity_module_non_topic_women[0, 24]",-31.674,74.59,-198.428,91.505,27.491,20.266,8.0,23.0,1.49
"popularity_module_non_topic_women[0, 25]",-29.194,135.945,-288.7,216.473,58.251,43.622,5.0,18.0,2.08
"popularity_module_non_topic_women[0, 26]",-7.523,77.646,-165.276,125.345,24.711,18.018,10.0,48.0,1.3
"popularity_module_non_topic_women[0, 27]",37.266,134.934,-210.772,303.543,55.255,41.16,6.0,12.0,1.86
"popularity_module_non_topic_women[0, 28]",35.537,139.685,-271.634,263.918,63.131,47.608,5.0,11.0,2.44
"popularity_module_non_topic_women[0, 29]",-25.191,73.31,-166.817,117.746,24.241,17.719,9.0,19.0,1.37
"popularity_module_non_topic_women[0, 30]",8.193,98.244,-172.268,185.772,39.25,29.159,6.0,29.0,1.67
"popularity_module_non_topic_women[0, 31]",59.068,87.993,-79.192,233.754,32.889,27.326,9.0,45.0,1.51
"popularity_module_non_topic_women[0, 32]",2.029,153.336,-263.803,307.094,69.454,52.393,5.0,11.0,2.4
"popularity_module_non_topic_women[0, 33]",32.62,116.381,-175.606,237.956,49.271,36.844,6.0,11.0,1.86
"popularity_module_non_topic_women[0, 34]",-34.248,148.654,-353.954,185.397,69.7,52.844,5.0,14.0,2.46
"popularity_module_non_topic_women[0, 35]",-79.245,91.051,-231.327,70.664,36.107,26.804,7.0,42.0,1.65
"popularity_module_non_topic_women[0, 36]",-58.422,116.731,-253.217,125.2,49.929,37.382,6.0,24.0,1.81
"popularity_module_non_topic_women[0, 37]",18.674,129.73,-224.37,260.805,55.37,41.445,6.0,13.0,1.93
"popularity_module_non_topic_women[0, 38]",13.514,81.551,-137.472,169.338,29.806,21.956,8.0,41.0,1.55
"popularity_module_non_topic_women[0, 39]",119.835,107.971,-31.858,372.336,47.647,38.544,8.0,11.0,1.47
"popularity_module_non_topic_women[0, 40]",-16.999,101.705,-194.682,155.848,45.531,34.291,5.0,22.0,2.17
