elective,title,Women3_x,Men3_x,Women3_y,Men3_y,Students3_x
CS3626,Cryptography,54.0,273.0,1257.0,4365.0,327.0
CS3642,Artificial Intelligence,81.0,525.0,1257.0,4365.0,606.0
CS3704,Intermediate Software Design and Engineering,138.0,534.0,708.0,3378.0,672.0
CS3714,Mobile Software Development,78.0,432.0,708.0,3378.0,510.0
CS3724,Introduction to Human-Computer Interaction,198.0,483.0,708.0,3378.0,681.0
CS3744,Introduction to GUI Programming and Graphics,99.0,435.0,708.0,3378.0,534.0
CS3754,Cloud Software Development,45.0,294.0,708.0,3378.0,339.0
CS3824,Introduction to Computational Biology and Bioinformatics,12.0,60.0,708.0,3378.0,72.0
CS4104,Data and Algorithm Analysis,159.0,768.0,708.0,3378.0,927.0
CS4114,Introduction to Formal Languages and Automata Theory,66.0,222.0,708.0,3378.0,288.0
CS4124,Theory of Computation,3.0,69.0,708.0,3378.0,72.0
CS4134,Quantum Computation and Information Processing,3.0,30.0,207.0,1008.0,33.0
CS4144,Competitive Problem Solving II,0.0,6.0,207.0,1008.0,6.0
CS4234,Parallel Computation,6.0,36.0,708.0,3378.0,42.0
CS4254,Computer Network Architecture & Programming,12.0,90.0,708.0,3378.0,102.0
CS4264,Principles of Computer Security,57.0,339.0,708.0,3378.0,396.0
CS4265,Big Data Analytics,18.0,102.0,1257.0,4365.0,120.0
CS4267,Machine Learning,12.0,123.0,1257.0,4365.0,135.0
CS4277,Deep Learning,0.0,33.0,846.0,2796.0,33.0
CS4284,Systems & Networking Capstone,21.0,114.0,708.0,3378.0,135.0
CS4322,Mobile Software Development,6.0,45.0,408.0,1311.0,51.0
CS4412,Data Mining,24.0,156.0,1257.0,4365.0,180.0
CS4422,Information Retrieval,12.0,27.0,846.0,2796.0,39.0
CS4504,Computer Organization,3.0,27.0,708.0,3378.0,30.0
CS4522,HPC & Parallel Programming,0.0,30.0,1257.0,4365.0,30.0
CS4524,Cloud Computing,12.0,48.0,1257.0,4365.0,60.0
CS4604,Introduction to Data Base Management Systems,60.0,228.0,708.0,3378.0,288.0
CS4612,Software Security,6.0,27.0,408.0,1311.0,33.0
CS4622,Computer Networks,9.0,39.0,1257.0,4365.0,48.0
CS4624,"Multimedia, Hypertext and Information Access",51.0,294.0,708.0,3378.0,345.0
CS4626,Computer and Network Security,6.0,18.0,846.0,2796.0,24.0
CS4644,Creative Computing Studio,51.0,81.0,708.0,3378.0,132.0
CS4704,Software Engineering Capstone,81.0,435.0,708.0,3378.0,516.0
CS4712,User Interface Engineering,27.0,153.0,1257.0,4365.0,180.0
CS4720,Internet Programming,48.0,207.0,849.0,3054.0,255.0
CS4732,Machine Vision,6.0,72.0,1257.0,4365.0,78.0
CS4742,Natural Language Processing,0.0,24.0,846.0,2796.0,24.0
